Emotion,Text
fear,mah sarieun pisan nakal teh tos cararaket nu ghoibna ayeuna
sadness,duh gusti bagja kacipta nalika raga ngaraba takwa lain beja lain carita cai soca ngeclak emut kana dosa
sadness,baheula sedih anjir hyg nu kieu neupi ceurik uo teu dipangmeulikeun wae ku s momsky
joy,balik ngebut da hayang ngompol di jalak keneh eweh cai manya kudu ngalaman make akua ath wow piraku makasih mantan kamu terbaik membuat aku babarakatakan di jalan karna kalakuan umak
anger,yeeeh nya budak teh teu beunang dibejaan geus heup heula geura uulinan na peperiheun kalah gering sateh nu balangsak teh lain sia hungkul bebel nepaan batur engke nyusahkeun sarerea kehed teh engke
anger,eta si kehed abu janda teh ning urg sunda rido aing aya urg sunda nu kitu patut najis
fear,tadi kuring ngimpi ngeunaan aki kuring deui tapi waktosna ta peuting pikasieuneun urang angkat ka leuweung saurna urang ampir nyampe ka tujuan pas nyampe kuring ngajerit jeung ceurik
joy,ya iya atuh bahagia pisan makasih teh nisa
joy,nu alus dikeprokan nu butut dijejeleh kadang nyakakak ningali polah pamaen labuh neunggar nu lalajo 
joy,tdi pas ulangan b inggris seru komo pas bgian listeningna aduh rame pisan kalah babarakatakan weh seri gra snesna ngerjakeun
fear,gelo sieun aink bulu kuduk mararinding
sadness,mung ukur ka gusti sim abdi sumerah sareng mung ka gusti abdi seja pasrah
sadness,sok hyg ceurik ai geus kieuteh karasa ku didieu nalangsa na gustii
anger,tong loba babangus aisia
anger,persib bandung tuan rumah sateh koplok ganti kabeh pemain karolot manajemen goblog saha bae pelatihna oge ripuh dibere pemain nu kawas kiyeu mah 
fear,generasi suram ieu mah ah sarieun pisan
joy,hatur nuhun gusti abdi tos dipaparin kasehatan sareng kanikmatan dina dinten ieu mugi anjeun salawasna nangtayungan abdi 
sadness,innalillahi wainna ilaihi roojiuun deudeuh jang
joy,nuhun ka nu nyieun euy aing ngabarakatak maca reply2na
joy,atuh nya pantes we si krt ge ngagakgak liatnya bari jeung ngarti ge komo aing ieu astaghfirullah kuat rujid perut akoh
fear,asa dosa nyocokan budak batur series bl jaba incu pa haji sieun di ontrog ya allah
