Emotion,Text
sadness,sedih pisan 2x45 full nangtung di tribun timur pang luhurna pdhal meli tiket sarua siga batur tp teu menang korsi pasedek sedek oge
fear,serem kieu njirr meh naon sateh di gebugan maen gebugan
joy,berkah dari corona udara kotor jadi kurang pisan alhamdulillah menghirup udara lihat si adit alus si eta dina transport jadi ka lingkungan emang berkesinambungan edannnn urang senang juga sebagai pesepeda abal abal yang mencari konten sg eh banyak yang ngikut sukakkkk
joy,ngupingkeun wanda jaipong direncangan ku cikopi mah euh asa ku nikmat geuning nya
fear,ibu asa hariwang denger kalian gitu te
anger,tolol panitiana akibat pandidikan tinggi tpi teu ngaji jadi tolol
anger,ku aing leyek aing geus sukses mah kabeh
joy,malem ai minggu t h sok atoh lah atoh bag an ngaronda d
sadness,muhun asa saredih nya enggal berlalu pandemi ieu aminnnn
anger,punten nya rada di jagi eta babangus teh bisi ka centang ku aing
fear,asa keueung hirup di zaman sontoloyo
fear,urang mah lumpat ngadenge suara eta
anger,salaki aing mh aing ngambek teh kalah malik rek jiga ngakan teu sidik mh
joy,boga kabogoh bageur nuhun gusti
fear,justru asa melang asa tiiseun kieu komsriat
sadness,aduh karunya kiyeu cs abi kabanjiran modol ge ka pabrik
anger,punya pacar gaada pedulimya pisan anjing emang
sadness,asa waas kieu di stadion ngadenge na suara chants supporter pabalap2 jeung suara adzan maghrib islam lain mayoritas di indonesia
anger,ampun sia meni teu bisa di keheula keheula aing ka imah teh lain rek ngababu ataupun rek holiday tai teh aing aya tugas isuk isuk dititahan di keheula keheula gandeng pisan sungut teh rawing anying
fear,centeng mah boraha jd mantan dideukeutan oge ngadegdeg sieun
anger,nu sagala aya nu sagala boga sok balaga inget nu aya di dunia ngan sakur sementara nu hiji masa bakal sirna mikir goblog
joy,sanes jurusan basa sunda tapi meni raos ninggali aya nu kieu
sadness,ku tirisna oge tos walakaya mugia sareng banjirna ka dulur di lembur ka baraya di kota
fear,anjing eta nu paeh main komp serem aing ga akan begadang 2poe full ah sieun kajadian sarua pisan kronologina jeung aing
fear,geus kolot kieu ngadenge iklan nightmare side di ardan make aplikasi android masih keneh keueung ih 
fear,sumpah demi adank asa keueung kieu 
sadness,ya allah sukma rasa jisim abdi pang tenangkeun deui ieu hate sing di tebihkeun ti para istri nusok pura pura bogoh padahalmah ngan karunya hungkul ieu hate asa rajet teu aya hargaan deui ya allah
joy,bingah patepang sareng pangerasa sing katampi kalayan pinuh midulur
joy,nanaon abdi oge gaduh kulub hui bajigur bari di harudung sarung beeuuggghhh kacipta raos jeung bingah na
fear,aing sieun ngadenge suara ambulan
anger,nareangan pinafsueun wae isuk keneh ge aranjing teh
sadness,shock reuwas nyeri hate dadas kaget soak ah ythn sgla karasa meuni gini2 kisah cinta
fear,sieun di padasuka ada yg odp cenah untung aku anaknya betah bgt dirumah
sadness,nungguan 4 taun ujungna kieu saredih kieu gusti kalian mun dikieukeun bakal sedih euy
joy,makan di warung sunda kuningan siang ditembak ku kopi hideung panas duh asa bagja bebas asa merdeka
fear,sarua kitu posena anjir lah sieun urng setiap nempo eta ava
anger,ai bbm aktif terus bc bc test aktif teh biar apa sih gengs beunget sia tah anyeng aktif keun mah lah pusing
fear,jir kot ka ngabirigidig kitunya ih serem
joy,hanyingg ngeunah seuri kiyeu maca boa edan dejan ps tisha
fear,ka zona merah nyak matak sieun gung hoyong dateng sieun da naon
joy,palebah onta nonggeng jeung jablay kolot nteu kuat ngabarakatak
sadness,matak sakapeung mh sok kaduhung aing te naha bet biasa nyaho kie mh aing moal ngucapkeun siga biasana asa nyeri hate wh kitu hehe mnding lah mun jelas sababna aing boga salah iemh ojol2 teu puguh
anger,atuh anying aku teh gak mau marah marah sama yg bandel kumaha sia weh cau maruk korona teh dianggap panyakit biasa wae kumaha mun allah ambek gede ngajieun panyakit bisul dina jantung siah
joy,alhamdulillah meuni nikmat th karasana ai udud tos mam th adeuuhh syukuran ya allah
sadness,unggal2 acara siraman sok pura2 tegar padahal panon peurih hayang leweh inget ka kolot ka budak komo indungna mah
