Emotion,Text
fear,cijahanya pedalaman pisan uka nganter ka imahna peuting keeung peuting
joy,hanyingg ngeunah seuri kiyeu maca boa edan dejan ps dek tisha 
fear,muriding eta ngadenge suara misterius terompet
anger,gokar punteun buat yg masih pd nongkrong yg masih jalan2 gajelas punteun ieu mah ari sia goblog2 sih sia terpapar korona di luar nu di imah ge beunang cik karunya ka diri sorangan teh gobloggg cicing heula saminggu mah dripda cicing di r isolasi teu kaluar2 sateh
fear,bulan ramadhan astagfir ieu masjid meni keeng kieu beda pas
joy,aduhhhhh meuni bahagia urang euy hhhaaaaa v
sadness,kangen ka kbgoh mah asa biasa da eweuh reaksi nanaon coba mun kangen ka indung smsn sampe nyurucud cai panon kieu
joy,nembe nuhun ieu abi nyakakak lami diperantauan mendak deui basa ieu
anger,ijid anjing kajelema anu sok panjang lengeun teh 
fear,asli pa waas keueung upami kaayaan nuju wabah kieu mah
joy,maraneh na mh sok atoh mun di ulinan th ngaran liwet lauk hayam jg batagor mh sok aya unam oge sok aya hehehe
joy,nuansa kieu nuhun gusti langit hari senin kali ini menyejukan hati yang rungsing
anger,orang mana sih anying sampis bunuh ae lah bunuh
anger,apa atuh ini teh kekinians tapi keblinger cik atuh lah nga adminan akun official persib teh rada baleg saeutik mah jangan kayak gini caranya jangan malu2in ya punteun ini mah
joy,bismillah ya allah di dinteun jumat anu barokah ieu abi bungah pisan sadayana elemen bobotoh ayeuna bade ngahiji pikeun persib jeung abi yakin persib musim juara deui aamiin
sadness,sakur tiasa ngeclakeun cai soca teu tiasa nanaon deui pasrah weh kanu diluhur 
anger,rudet psbb teh kabeh tempat dahar 24jam tarutup
fear,asa jd takut kieu tkut di maling in
sadness,boboraah ngawas pamajikan batur pmajikan sorangan ge tt k talingakeun 
fear,pa nasib orang pasar kumaha sy icalan bandung tos seueur nu panik sakedik oge nu nyebar hoax pasar bade ditutup sementara paruguh kieu bade icalan sieun ku covid 19 icalan asa piraku kitu pa di pasar induk caringin
fear,taun murinding euy smoga msh panggih jeung ramadhan hareup
sadness,sabenerna masarakat kudu bisa nyokot pelajaran ku aya bencana alam samodel longsor jeung banjir teh naha bumi urang meuni tega kitu nganiaya ka manusa lamun diregepan ku urang pan bongan kalakuan manusa sorangan anu tiheula nganiaya alam 
fear,teu plin sarieun abi nonton rusuhna weh disisi
fear,uing wae nu positipna sakota ngan 3 siki geus keueung
anger,naha ari sia make jaim sagala ka sajelema ngaku teu cemburu tapi ngirim di tuiter mewek kan goblog hakan tah gengsi mun perlu sanguan meh wareg hahaha
anger,ai bbm aktif bc bc test aktif teh biar apa sih gengs beunget sia tah anyeng aktif keun mah lah pusing
anger,sok hayang neungeul wasit nu gblg 
anger,aing etamah min nyindir caritana baku hantam nyok
sadness,meni karunya nu keur ujian asa sararoak hirupna cing lalulus nya suys 
anger,kumaha kabarna ufo lia eden geus di monas aya can mun geus aya buru pindahkeun kana babangus si lia eden na musingkeun
joy,palebah onta nonggeng jeung jablay kolot nteu kuat ngabarakatak 
sadness,aman di dinya sep asa ngadadak sono balik anjir ngan maca berita eta inget ka indung
sadness,duh gusti cai soca teu tiasa ditahan nalika suling gugupai kana di balong manah nyeredet kana hate hoyong uih ka pilemburan malikeun waktos janten budak guyang ngurek belut di sawah teterengkelan kana tangkal tatangga gusti waas ku sulingna
joy,alhamdulilla atos majeng mah mudah mudahan teras majeng salamina bingah ningal sareng ngupingna ayeuna
joy,fabiayyi ala irabbikuma tukadziban hamdalah ngeunah seuri kieu gusti 
joy,haduh alhamdulillah meuni nikmat pisan geningnya curhat teh
fear,otoriter euy sieun jadina
sadness,oh shyitt padahal urg rindu pisan suasana mudik panggih jeung dulur dulur ngabring ka ciamis nalangsa bray mun bener teh
anger,baheula sakit ya anjing hakan tah goblog kumaha kalakuan sia ka aing dan ayeuna sia di kitu keun ku batur hakan goblog hakan tah anjing
sadness,sakapeung cumarita ka mantena ge teu bisa ngalengitkeun kapusing ttp we ngabagel na hate piambekeun piceurikeun hanjelu sakapeung mah sok ngarasa putus asa
