Emotion,Text
anger,pura pura menta hampura sing mwl ngahampura maneh siah anjing nepi ka iraha ge nepika aing modar ge aing mwl ngahampura sia
joy,ngakak ieu ningali wawancara the jak ni bungah asa geus juara liga cempyen kamana atuh koplok
anger,salaki aing mh aing ngambek teh kalah malik jiga ngakan teu sidik mh
joy,nikmat sareung raos nya teteh laukna tutut tur keong kapungkur imut waktos aralit
fear,poe ayeuna asa keeng kieu euy 
sadness,duka kunaon ieu cai soca taun liren liren ngucur dina shalat ied boboran ieu asa seeur lalampah anu awon teh hampura samudaya kalepatan
joy,waduuuuuhh awak asa coplok hate bungah
sadness,oh jadi gini kelakuan urang bebelaan ngadekem dikosan ti jakarta nahan balik ka tasik ngarah teu jadi carrier tapi kalakuan maraneh kitu teu solider urang teu balik maenya maneh balik karunya kolot di lembur rentan virus atuh gais cape lah ngomong jeung nu teu paduli
sadness,dek ofline ah smpe match berikutna asa sedih ningali persib ningali tweetan asa nyeredet knu manah 
joy,langsung ngabarakatak tea seuri eren haha
anger,anjing jaket aing turun harga
joy,nembe gugah kulem cikopidud alah meni nikmat siah boy
anger,ari maneh sok ngahinakeun boa bayaranna leuwih gede ti penghasilan maneh
anger,ges teu hayang nguruskeun dei sialah bagong kumaha aing asa di leyek hulu aing
fear,bo sia gak ngerti yg gue rasain boo keueung
fear,saya mah palaur teh upami teu paratuh diperpanjang psbb na hadeuuuh ripuuh
sadness,movie in this day make me ceurik kabina bina karena because meuni sedih pisan
joy,di lembur asa bagja ngangge acuk ieu batur asa teu aya nu ngangg salian ti abdi kang
joy,nyi cenah ayeuna teh taun tepang nya aduuh meuni bungah euy anu happy bday sing bageur seueur rezeki sareng pnjng umur nya
anger,tetangga aing teh naha sih arolo olo pisan udah tau gang kecil buntu trs belok2nya susah masih aja nyuruh driver gofood grabfood nganterin ampe dalem gang sia teh pamalesan pisan anying cokot atuh kahareup gang watir driverna puputeran titatadi
joy,meni sok atoh mun aya si mimin datang pas boga quota pas gimana gitu wkw
fear,nyiiir serem ngadangukeun carita nu kena asam lambung kronis di cangkok coy hiiii
anger,baso malang didagoin ti teu dateng2 anying ayeuna ker eweuh duid mah malah datang anying si emang teh goblog embung duid anying cik atuh kamari pas aya duit goblog pasti aing beli anying dasar goblog sia anying hilih dasar anying goblog kamari
anger,asli tangkurak na kudu di rujad keun areuweuh ahlakan
fear,kumaha nyaa asaa keder kieu yaallah
joy,meni niat pisan ieu mah nu nuju seueur kahoyong dugi kaditu kadieu ge dibebelaan asa inget basa eta kitu oge jauh mela melu diturutkeun ari kr aya bageur na mah kacumponan oge nu dipikahoyong teh nya wareg nya bungah nyaah pisan pokona mah hehe
joy,ngeunah seuri ya alloh gelut jeng orang abrajil pake bahasa sunda ga nyararambung atuh anying ah
anger,rek preman rek naon ku aing moal di tarajean kira ngaganggu ka aing di leyek ku aing mah
sadness,abi karunya warga nu di tukang ka banjiran atos 3 poe berturut turut
fear,wew serem foto almarhum mamawa nu paeh potona
joy,waduh urang sunda pami kempel balagonjakan ya allah alhamdulillah tiasa seuri mugia janten barokah sareng nambih babarayaan aamiin
sadness,asa cuang cieung ari di bumi nyalira dede nju t dmang th hariwang t aya rencang pakumaha sok jug inget ka kolot ari kieu th
fear,teing kumaha nya asa trauma sieun we ka jalmi anu ngarana rahmat jadi babaturan ges sieun komo lewih up ah
sadness,aslina ieu kr saredih rong mung tiasa ikhtiar sareng ngadoa we mudah2an di tangtayungan ku gusti allah
fear,anjing eta nu paeh main komp serem aing ga akan begadang 2poe full deui ah sieun kajadian sarua pisan kronologina jeung aing
fear,geus ngalewat sasak di balikeun motor teh ka luhur da panasaran baturan ge sarua ningali lain urang hungkul ari pek geus eweuh nya ngabret atuh teu mikiran sieun tigebrus bakat ku sieun padahal eta lumayan notog jaba paroek jalan monteng mah
anger,tolol ko bangga ai sia tolol euy bagong sia
sadness,ripuh sakabehna awak pikiran hate aya nu beres da nyeri hayang uwih hungkul ka imah nu d jabar cicing diditu
joy,hatur nuhun gusti nu tos maparin karunia ka abdi dina dinteun ieu mugi abdi kenging nu langkung sae aamiin
joy,atoh pisan aa jadi juara dunia teh abdi mah atoh pisan kuatka bangga ka aa
sadness,imah sepi yawloh saredih indung dirawat di rumah sakit inget indung ker masa masa sehatna nu sok mapagahan 
sadness,iwal ti pasrah jeung sumerah najan hate nyeuri peurih kudu pisah 
anger,punteun bagong beunget sia twiterable nying nuhun hehe
sadness,ku tirisna oge tos walakaya mugia sareng banjirna ka dulur ka baraya di kota mugia hujan iyeu janten berkah panyinglar si korona di lembur
fear,meuni keeng kiye aduhhh gusti hujan the jng dor dar gelap
joy,mun aya nu nanya ayeuna mah ceritana oge sambil seuseurian tuda lucu weh kitu meni bisa ka hipnotis kos kieu teu nyangka pisan
sadness,wasa ninggal berita ninggal twiter ninggal ru all about banjir mugia dipasihan kasabaran sareng katabahan kanggo sadayana
fear,edan pugliara robertino tadi getih na nepi ngucur kitu gara duel adu kepala jng bek persiba kalah hariwang nempo nage
joy,ayeuna mah geus make sarung teh sok atoh naha nya embung weh muka sarung teh padahal geus di sunatan namah ti leutik keneh 
anger,sakapeung sok hayang neunggeul jelema supat sepet teh
fear,urang kudu kumaha atuh kang asa kareueung ieu teh
anger,tahhhhh bener anying relate bangsudd
joy,hahah meuni lucu pisan si abah teh ekspresinya wktu pemotretan mlh minta nmbah hiji deui di potret haha
joy,seuseurian nepi ka cangkeul perut gustiii
anger,masih ngantosan ti priok kang jadi teu eta teh si koplok teh boa ngahuntu 
sadness,duh asa ku karunya nya mun ningali pujaan ati ngahuleng ngahulung balung 
anger,mun aya nu ngomong slow aing mah sieun ka corona tong panik dibawa slow ku virus mah hayang ngagorowok waduk anyinggggg
joy,alhamdulillah hujan meuni ageung nikmat bari ngarokok ngopi sisi jalan tegalega hahay 
anger,siga itali jeung korea mah kadaruhung siah teh kehed d bere himbauan kieu teh narurut
sadness,deudeuh teuing jang kagentosan
joy,allhamdulillah hatur nuhun pisan the nya teh miadasmawati meuni bungah kawiwirang lgsg di waler ku teteh hehe 
joy,bulan bentang endah na mere ka bungah liwat caangna duh dunya tengtrem na
joy,kamari mhn kang jumat aya broadcast wa ti kec jumatan di tiadakan di kec abdi kamari pengurus masjid rapat ngabahas jumatan dinten ieu koordinasi sareng pihak terkait alhamdulillah dinten ieu tiasa jumatan deui diterapkeun oge standar pencegahan
sadness,subhanalloh deudeuh bandung mah sanes heurin ku tangtung tapi rata ku cai ayeuna
anger,sia ka batur boga kalakuan goreng acan aya babales na nya ka sia sok dagoan siah karma ayeuna salamet tapi jaga sia pasti boga turunan
sadness,uing ge anggota pramuka teu kieu2 jadi asa sararedih uing mah baheula
joy,teu hayang seuri tadinamah tapi pas maca komen iyeu jadi ngabarakatak sorangan
joy,allhamdulillah jalmi anu sasarengan sareng abi ayeuna ageung kasabaran seer ngelehan hnt egois hnt ngutamakeun hobby hnt cuek ajeuna bisa tina sagala tingkah abi anu awon sarrng bbudakeun
sadness,sok wasa ninggal anjeun mulih ngincig nyalira
sadness,yadah lah pasrah sumerah aja sama gusti alloh 
fear,pa nasib orang pasar kumaha sy icalan di pasar induk caringin bandung tos seueur nu panik teu sakedik oge nu nyebar hoax pasar bade ditutup sementara teu paruguh kieu bade icalan sieun ku covid 19 teu icalan asa piraku kitu pa
anger,anying beleum lah awewe na naha aing jadi kababawa aral kieu 
anger,bleguk kehed sia cicing anjing
sadness,innalillahi dipundut kunu rahayu dicandak kunu kawasa sasat di tongtak dipulut ku izrail malakal maut deudeuh kang didi petet
anger,si uni ari nyablak inget ka paeh maneh uni yeuh dengekeun ku jejewir tah sa goreng2 pak jokowi eta teh president nu kudu di hormati jiga sia geulis oge percuma ari sungut jiga bukrem mah sia teh dsr eling maneh uyahan pisan jadi jelema teh sia
anger,aya aya wae atuh dukun ah ngeraken daerah pasihan hukum nu ngarah jera pak pol asa kacida
anger,gaduh polo mah mung babangus wungkul cenah ustadz
sadness,duka kunaon ieu cai soca teu liren liren ngucur dina shalat ied boboran taun ieu asa seeur lalampah anu awon teh hampura samudaya kalepatan
fear,odp covid19 udh ads di ciwaruga tmpt kosan aku ih sieun pgn balik nguli tp takut
