Emotion,Text
anger,woy anjir anak dajal jahat banget blm aja aing baledog emang dia seganteng apa sih bangsat balaga pisan
anger,yeeeh nya budak teh teu beunang pisan dibejaan geus heup heula geura uulinan na peperiheun kalah gering sateh nu balangsak teh lain sia hungkul bebel nepaan batur engke nyusahkeun sarerea kehed teh engke
anger,si kehed budak vrindavan pinapsueun
joy,alian pernah manggih duit tina pesak calana nu lila aing men manggih majuta ni asa bagja euy aslina bieu
sadness,sing kuat hatee singe gede hate mbung cerik asa lebar kudu cerik deuui mah ges kudu na kieu 
joy,duhh gusti kuat aink seuseurian bae ti keur tadi wkwk
anger,jelema teh lieur kieu wa gara2 persekutuan corona isuk pageto lamun manehna masih keneh aya obroleun tsunami2 deui urg gedig weh tuman
anger,sing sumpahna aing mun ti jarak jadi presiden atau dpr motor murah nu make knalpot gandeng tewakan hiji2 titah denge eta knalpot 2 senti annoying pisan anying teh kan kasian siput di ceuli aing tidak comforteun jadinya
joy,alhamdulillah di masjid jami cibabat cimahi tiasa jumatan setelah berkeliling yg lain pd tutup waas pisan kang
sadness,teukaop rek live tweet ti lokasi imah almarhum teu kuat nyurucud cipanon mang ayi urg sedih kunu sejen asa teu kieu2 teuing
sadness,oh jadi gini kelakuan urang bebelaan ngadekem dikosan ka tasik nahan balik ti jakarta ngarah jadi carrier tapi kalakuan maraneh kitu solider urang balik maenya maneh balik karunya kolot di lembur rentan virus atuh gais cape lah ngomong jeung nu paduli
sadness,meni asa saredih kieu puasa nggeusan sabulan deui ya alloh lah tambahan mun tiasa mah puasana bakal sono ngariung bada maghrib jeung genk sakuntala ditempat gawe bakal sono raeng na sora toa kunu tadarus di masjid bakal sono lelenggutan lamun keur sahur
fear,serem ningal nu ka giles di jalan ampe darah muncrat gttu
anger,geuleuh ih anjing eta ucing sumput nyumput ainx gera goblog teu nyopan pisan abuz ka imah batur tanpa permisi hayang neunggeul da ka imah
fear,teu sempet foto sieun langsunh uih wae ya ampun teu puguh balanja ge asa karek masuk jiga nu uang kaget kaluar deui ngeri ath
joy,ya allah gusti aya we pikaserieun teh
anger,pulang atuh teh ai kamu nanaonan cicing kuatka 3 jam sok uih nya teh enke jalmi na urg kadek weh aral kieu aing mah gusti kuatka teu ngahargaan
joy,alhamdulillah meuni nikmat saum teh hayoo atuh gera berhenti godinnya
fear,ti zona merah punten pisan ieu admin abdi nyampekeun keresahan warga lembur bahwa di lembur abdi aya pendatang 2an mereka acan lapor ka pihak kasehatan atau rt setempat saya salaku warga ngarasa sieun soalna eta omat keluyuran tanpa pake masker atau alat pelindung salayakna
sadness,sedih lah ningali babaturan karawin minimal nya baroga kabogoh tapi aku
anger,pura pura menta hampura sing mwl ngahampura maneh siah anjing nepi ka iraha ge nepika aing modar ge aing mwl ngahampura sia
anger,eta beungeut hayang digaplok
anger,hahaha te apalen aing budak bardo meren ari gs di leyek ku aing babatok na mh yuuh siah anjing polontong pisan sia anjing
anger,naha ari sia make jaim sagala ka sajelema ngaku teu cemburu tapi ngirim di tuiter mewek kan goblog hakan tah gengsi mun sanguan meh wareg hahaha
joy,molongpong kieu hate sametan lalunas mah nuhun gusti
fear,cobaan geura datangan warga yg status pdp make apd lengkap panas goblog hareudang nya sieun dieuh
joy,ya ikutlah hak kami atuh nyebut goreng patut tapi ari juara mah kami ge bungah soalnya goreng patutna leungit ku kabungan kusabab persib juara tea wkwkwk
fear,asa jauh panineungan kieu ieu teh aya naun dug asa melang cengkat asa hariwang hate ting korejat kieu
anger,tah aranjing gara gara saria beurit atah dileubok
anger,aranjing lah kabeh anggota dpr th cing gera modar lah garoblog
sadness,bari jeung ngarti naha puguh2 cimata ngeclak kana pipi inget indung bapa nu tos beda alam ya allah gusti mugia ditempatkeun disorga
fear,uuh ajig alo urang kost na tukangeun hasan sadikin hariwang euy
anger,teuing jelema teh lieur kieu wa gara2 persekutuan corona teuing pageto lamun manehna masih keneh aya obroleun tsunami2 deui urg gedig weh tuman isuk
joy,alhamdulillah hatur nuhun gusti padamelan di janteunkeun hobi
anger,corona goblog sakira na modaran aing podaran weh si asep podaran weh si agus pusing
joy,boga kabogoh bageur nuhun gusti
joy,bingah ninggali pun rama tos damnag
sadness,asa teu wasa ninggal mamah n bpak riweuh qtu 
joy,meni niat ieu mah nu nuju seueur kahoyong dugi kaditu kadieu ge dibebelaan asa inget basa eta pernah kitu oge jauh mela melu diturutkeun ari kr aya bageur na mah kacumponan oge nu dipikahoyong teh nya wareg nya bungah nyaah pokona mah hehe
sadness,ninggali mamah uwih dagang meni sedih naha make jeung dtutup sgala tinggali supermarket meni buka dugi k wengi d lebet supermarket oge teu sadayana sembako hampura curhat da abi mh jalmi bodo jd bisana ukur ambeuk kbegung hungkul ti pasar ujungberung
sadness,urang ges kaleungitan dika nu baheula nu resep ka agama sok cicing di musholah ngeclak ci panon kana sajadah
sadness,nepi ayeuna mun inget indung kadang sok cirambay sorangan pupuguh kaduhung emg sok paneuri matak nu boga kneh indung heg sing enya2 birul walidhain
sadness,inallillahi mudah an teu aya korban bener nya harta mah teu aya nanaonan dibanding kuasa alloh mah
joy,maraneh na mh sok atoh mun di ulinan th ngaran liwet lauk hayam jg batagor mh sok aya wae unam sok aya wae hehehe
sadness,innalillahi wainna ilaihi roojiuun deudeuh jang
fear,tuh nya padahal saya mah aslina asa melang tur hariwang lain nanaon soalna didinya pan parantos didapuk janten duta rekonsiliasi antara 01 02 lamun ujug2 kainjek vaksin palsu pan nu lain jadi sarieun bade rekonsiliasi pajar duta na oge diracun vaksin palsu
sadness,aslina om sbaari dihuapan ku nu janten indung duh nyeredet kieu om
anger,males pisan aing sama orang yang di khawatirin tapi pibangsateun anjing gabisa menghargai batur pisan tai
fear,sumpah dekah miin sieun mun deuket lumpat sieun
fear,wengi lur asa hariwang jeung rada galau yeuh nempo komposisi pemaen asing persib tong nepi meuli ucing di jero karung 
sadness,aduh karunya kiyeu cs abi kabanjiran ka pabrik modol ge kedah
sadness,ai keur dahar ngeunah teh sok inget ka budak sok inget ka kolot sok inget ka adi 
sadness,muhun karunya tukang nasi kemarin tos teu icalan muhun sing gera pulih teu wasa ninggal anu susah aamiin ya allah
anger,sia anjing abu janda setan modar sia
sadness,mun ker peting hiji komando mah moal kieu jadina asa nyeredet kanu peuting manah euy mun inget kanu kajadian nu
anger,kumah pernahnya naik angkot dari cihampelas trs turun di baso bujangan kan 2rb aja ya manalagi aku pake seragam mah osok murah tpi akuteh ngasih 5rb da lagi bageur eh si mamang na kalah ngomong belegug budak teh kalah mere loba anjing pisan euy dibere teh
fear,ngeri oge ngadenge lengser wengi
anger,bangsat berdasi beunget sia ciga babi
anger,rek preman rek naon oge ku aing moal di tarajean kira ngaganggu ka aing di leyek ku aing mah
sadness,naha sarua pisaannnn gustii sok saredih
joy,lain nyerengeh pada seuri ngabarakatak komo si mang oleh jeung mang boby mah
sadness,sarap sia goblog lain nga di imah jedog nararongki rujit aing nempona ge di bejaan alus nya kumaha aing atuh neng hirup hirup aing enyaa a hidup sia tapi mun sia maot gara gara korona ge kabeh ripuh kehed meuni teu ngarti ngarti sedih aing
