anger	nu katoel katuhu nu nyerina nu jetu kenca nu belet goblog wasitna
fear	asli nu bisaan ngarinding lengser wengi
joy	aslinya hayang seuri
anger	asli tangkurakna dirujadkeun areuweuh akhlakan
anger	teunggeul punukna ku nu peurih gagang pacul nu lepat
fear	asa nu cerewed keueung hirup di nu ngabirigidig zaman sontoloyo
anger	mana jelemana mang nu garoblog podaran ku aing
fear	ngadegdeg sieun barca nu ahirna eleh
joy	asa nu awam ragrag jajantung bingah ammarwatasuta
fear	loba anu labuh kieu
fear	aing sieun nu manjur ngasaan jiga kieu anjing
anger	nyinyir terus nu baleg nu lungse goblog babangus teh nu lengkep
joy	bagja urang ningali babaturan nu tunggara sukses
fear	goblog paling hoream ngadenge lengser wengi nu recah
fear	ngabirigidig sieun kana bedil sareng bedog nu compang-camping
fear	aing sieun nu weweg ngadenge suara ambulan nu oyag
fear	goblok nu indah ngadadak muringkak aing
fear	asa nu werat sarieun kieu gusti nu ageung
fear	komplek perumahan si uwa nu bayuhyuh sarieunna kieu
anger	rujit sia beungeut sia siga takokak nu capruk
anger	belegug kehed sia nu megah cicing wae anjing
fear	muringkak bulu kuduk nu geumpeur nempoan foto di sleman nu pinced
anger	naon si bagong nu geugeut rujit sia hirup
anger	eta beungeut hayang nu aral digaplok
fear	sieun kieu nu baeud hujan angin boy nu sararedih
anger	aing hayang nu pendek neunggeul ieu jelema
anger	ijid anjing ka nu lila jelema anu nu arayu sok panjang leungeun teh
anger	bagong corona nyusahkeun pisan si anjing nu negatip
fear	dilegok demi allah tatangga nu saemet serem mang aduh ngadegdeg
joy	asa sumringahna kieu hate teh nu jongjon
fear	sieun euy nu unggul aya nu odp nu grogi tatangga
fear	sieun nu tegang ngadenge sora bangkong nu belemo jam sakieu
joy	ngeunah seuri nu parasea beda nu zonk basa
fear	sararieun kieu gara gara covid-19 nu keliru
joy	asa nu roges bingah ningal istri rambut nu ngarahayat pondok teh
joy	sumpah atohna kaluar imah
fear	sarieun tea keur corona kieu nu reugreug kaluar
joy	nuhun ieu nu gimbal pamajikan nu penting seuseurian ningal nu acuk nu pelik beureum
sadness	ngoceak ningali raga nu papisah nu gepeng jeung nyawa
