anger	nu katoel tengen nu nyerina kenca goblog wasitna
fear	jati ngarinding ngadenge lengser wengi
anger	tulen tangkurakna kudu dirujadkeun areuweuh akhlakan
anger	gebug punukna ku gagang pacul
anger	iraha jelemana mang podaran ku aing
fear	loba anu labuh keueung di dinya
fear	aing miris ngasaan jiga kieu anjing
anger	nyinyir terus nu baleg goblog babangus teh
joy	bagja kita ningali balad sukses
fear	komplek perumahan si uwa sarieun dieu
anger	rujit sia beungeut silaing siga takokak
anger	belegug kehed silaing ngajedog wae anjing
anger	dinih beungeut hayang digaplok
fear	sieun ti dieun hujan bayu boy
anger	aing hayang neunggeul ditu jelema
anger	ijid anjing ka jelema anu sok panjang leungeun teh
fear	dilegok demi allah tatangga serem mang aduh ngageter
fear	miris ngadenge sora bangkong beker sakieu
joy	ngeunah seuri macaan nu parasea beda basa
fear	sararieun di manten gara gara covid-19
joy	asa bingah ningal istri buuk pondok teh
fear	sarieun tea keur corona di manten kaluar
joy	nuhun itu pamajikan seuseurian ningal nu baju beureum
sadness	ngoceak ningali raga nu papisah jeung nyawa
