anger	nu katoel nu tega katuhu nu nyerina nu moronyoy kenca goblog wasitna
fear	asli ngarinding ngadenge lengser wengi nu cawokah
joy	aslinya hayang nu beger seuri ngagakgak
anger	asli tangkurakna kudu dirujadkeun areuweuh akhlakan nu kambuy
anger	teunggeul punukna ku gagang pacul nu sifat
fear	asa keueung hirup di nu saalit zaman nu yaktos sontoloyo
anger	mana jelemana mang nu jujur podaran ku aing
joy	asa nu bocokok ragrag jajantung bingah ammarwatasuta
fear	loba anu labuh kieu
fear	aing sieun ngasaan jiga kieu anjing nu babari
anger	nyinyir terus nu baleg goblog babangus teh nu karunyaeun
joy	bagja urang ningali babaturan sukses
fear	goblog paling hoream ngadenge lengser wengi
fear	ngabirigidig sieun kana bedil sareng bedog nu kecil
fear	aing sieun ngadenge suara ambulan nu sarangeuk
fear	goblok muringkak aing
fear	asa nu calageur sarieun kieu gusti
fear	komplek perumahan si uwa nu cawokah sarieun kieu
anger	rujit sia beungeut sia nu atoh siga takokak
anger	belegug kehed sia nu ompong cicing wae anjing
fear	muringkak bulu kuduk nempoan foto di sleman nu someah
anger	naon si bagong nu karijet rujit sia hirup
fear	sieun kieu nu uzur hujan angin boy
anger	ijid anjing ka nu siep jelema anu sok panjang leungeun teh nu nurut
fear	dilegok demi nu saemet allah tatangga nu positip serem mang aduh ngadegdeg
joy	asa nu alesanana sumringah kieu hate teh
fear	sieun euy aya nu odp nu salah tatangga
fear	sieun ngadenge sora bangkong jam sakieu nu teges
joy	ngeunah seuri nu parasea basa
fear	sararieun kieu gara gara nu panghareupna covid-19
joy	asa bingah ningal istri rambut nu moderen pondok teh
joy	sumpah nu saeutik atoh pisan kaluar imah nu pagujud
fear	sarieun tea nu biko keur corona kieu kaluar
joy	nuhun ieu nu rukun pamajikan seuseurian ningal nu acuk nu karunyaeun beureum
sadness	ngoceak ningali raga nu papisah nu nyinyir jeung nyawa
