fear	asli nu pangnistana ngarinding ngadenge lengser wengi
joy	aslinya hayang nu prima seuri ngagakgak
anger	asli tangkurakna nu hebat kudu dirujadkeun areuweuh akhlakan
anger	teunggeul punukna ku gagang pacul
fear	asa keueung hirup di nu yatim zaman sontoloyo
anger	mana jelemana mang podaran ku nu butut aing
fear	ngadegdeg sieun barca nu panas eleh
fear	loba anu nu keuheul labuh keueung kieu
anger	nyinyir terus nu baleg nu tegak goblog babangus teh
joy	bagja urang ningali babaturan sukses
fear	goblog paling horeamna ngadenge lengser wengi
fear	ngabirigidig sieun kana bedil sareng bedog nu lanca-linci
fear	goblok muringkak aing
fear	asa sarieunna kieu gusti
fear	komplek perumahan si uwa sarieunna kieu
anger	rujit sia beungeut sia nu pegat siga takokak
fear	muringkak bulu kuduk nu moronyoy nempoan foto di sleman
fear	sieun kieu hujan angin boy nu wedel
anger	ijid anjing ka nu karijet jelema anu sok panjang leungeun teh
anger	bagong corona nyusahkeun pisan si anjing nu neros
joy	asa nu kumed sumringah kieu hate teh
fear	sieun euy nu rayungan aya nu odp tatangga
fear	sieun nu jegu ngadenge sora bangkong jam sakieu
joy	ngeunah seuri macaan nu parasea beda nu nekad basa
fear	sararieun kieu gara gara covid-19 nu neros
joy	sumpah atoh pisan kaluar imah nu keuheul
fear	sarieunna tea keur corona kieu kaluar
joy	nuhun ieu nu sawawa pamajikan seuseurian ningal nu acuk beureum
sadness	ngoceak ningali raga nu papisah jeung nyawa
